method,frame,time_s,s1_cm,s2_cm,distance_cm,n_peaks,row_std_px
incident_direction_filtered,551,18.366666666666667,11.5,34.65,23.15,2,5.193667021621309
incident_direction_filtered,552,18.4,11.700000000000001,34.85,23.15,2,5.2127550944863215
incident_direction_filtered,553,18.433333333333334,11.850000000000001,35.050000000000004,23.200000000000003,2,5.2272708974386255
incident_direction_filtered,554,18.466666666666665,12.05,35.25,23.2,2,5.237247871368361
incident_direction_filtered,555,18.5,12.25,35.45,23.200000000000003,2,5.242794419662586
incident_direction_filtered,556,18.533333333333335,12.450000000000001,35.6,23.15,2,5.244084756101484
incident_direction_filtered,557,18.566666666666666,12.600000000000001,35.800000000000004,23.200000000000003,2,5.241348477724048
incident_direction_filtered,558,18.6,12.8,36.0,23.2,2,5.234859495717974
incident_direction_filtered,559,18.633333333333333,13.0,36.2,23.200000000000003,2,5.224924929609594
incident_direction_filtered,560,18.666666666666668,13.15,36.4,23.25,2,5.211874511839297
incident_direction_filtered,561,18.7,13.350000000000001,36.6,23.25,2,5.196050968957592
incident_direction_filtered,562,18.733333333333334,13.55,36.75,23.2,2,5.177801749763919
incident_direction_filtered,563,18.766666666666666,13.75,36.95,23.200000000000003,2,5.157472366242031
incident_direction_filtered,564,18.8,13.9,37.15,23.25,2,5.135401504914375
incident_direction_filtered,565,18.833333333333332,14.100000000000001,37.35,23.25,2,5.111917957136072
incident_direction_filtered,566,18.866666666666667,14.3,37.550000000000004,23.250000000000004,2,5.087339308188445
incident_direction_filtered,567,18.9,14.450000000000001,37.7,23.25,2,5.0619722173239445
incident_direction_filtered,568,18.933333333333334,14.65,37.9,23.25,2,5.036114014965374
incident_direction_filtered,569,18.966666666666665,14.850000000000001,38.1,23.25,2,5.0100552413531165
incident_direction_filtered,570,19.0,15.0,38.300000000000004,23.300000000000004,2,4.984082657804431
incident_direction_filtered,571,19.033333333333335,15.200000000000001,38.5,23.299999999999997,2,4.958482185123379
incident_direction_filtered,572,19.066666666666666,15.4,38.650000000000006,23.250000000000007,2,4.933541174144218
incident_direction_filtered,573,19.1,15.55,38.85,23.3,2,4.90954940337879
incident_direction_filtered,574,19.133333333333333,15.75,39.050000000000004,23.300000000000004,2,4.886798240919701
incident_direction_filtered,575,19.166666666666668,15.950000000000001,39.25,23.299999999999997,2,4.865577512525918
incident_direction_filtered,576,19.2,16.150000000000002,39.45,23.3,2,4.846169790452695
incident_direction_filtered,577,19.233333333333334,16.35,39.6,23.25,2,4.828842055271881
incident_direction_filtered,578,19.266666666666666,16.5,39.800000000000004,23.300000000000004,2,4.81383497234147
incident_direction_filtered,579,19.3,16.7,40.0,23.3,2,4.801350340726308
incident_direction_filtered,580,19.333333333333332,16.900000000000002,40.2,23.3,2,4.791537579466826
incident_direction_filtered,581,19.366666666666667,17.1,40.400000000000006,23.300000000000004,2,4.784480371167605
incident_direction_filtered,582,19.4,17.3,40.6,23.3,2,4.780184742133761
incident_direction_filtered,583,19.433333333333334,17.5,40.800000000000004,23.300000000000004,2,4.778569885468133
incident_direction_filtered,584,19.466666666666665,17.7,41.0,23.3,2,4.779462908587239
incident_direction_filtered,585,19.5,17.95,41.2,23.250000000000004,2,4.782598412136096
incident_direction_filtered,586,19.533333333333335,18.150000000000002,41.35,23.2,2,4.787623410651428
incident_direction_filtered,587,19.566666666666666,18.35,41.550000000000004,23.200000000000003,2,4.794107635037178
incident_direction_filtered,588,19.6,18.55,41.75,23.2,2,4.8015587737795835
incident_direction_filtered,589,19.633333333333333,18.75,41.95,23.200000000000003,2,4.809441775194071
incident_direction_filtered,590,19.666666666666668,19.0,42.150000000000006,23.150000000000006,2,4.81720099733616
incident_direction_filtered,591,19.7,19.200000000000003,42.35,23.15,2,4.824283787063757
