"1 _ 1",,,,,,
"时间","载荷","行程","应力","行程(应变)","位移","位移(应变)"
"sec","N","mm","N/mm2","%","mm","%"
"2.17","817.486","0.180125","817.486","0.180125","0.180125","0.180125"
"2.18","820.004","0.1809667","820.004","0.1809667","0.1809667","0.1809667"
"2.19","822.5244","0.1818","822.5244","0.1818","0.1818","0.1818"
"2.2","825.0478","0.1826333","825.0478","0.1826333","0.1826333","0.1826333"
"2.21","827.5746","0.1834667","827.5746","0.1834667","0.1834667","0.1834667"
"2.22","830.106","0.1842917","830.106","0.1842917","0.1842917","0.1842917"
"2.23","832.6426","0.185125","832.6426","0.185125","0.185125","0.185125"
"2.24","835.182","0.1859583","835.182","0.1859583","0.1859583","0.1859583"
"2.25","837.721","0.1868","837.721","0.1868","0.1868","0.1868"
"2.26","840.2582","0.187625","840.2582","0.187625","0.187625","0.187625"
"2.27","842.7938","0.1884667","842.7938","0.1884667","0.1884667","0.1884667"
"2.28","845.3286","0.1893","845.3286","0.1893","0.1893","0.1893"
"2.29","847.864","0.1901333","847.864","0.1901333","0.1901333","0.1901333"
"2.3","850.4022","0.190975","850.4022","0.190975","0.190975","0.190975"
"2.31","852.9442","0.1918083","852.9442","0.1918083","0.1918083","0.1918083"
"2.32","855.4902","0.1926417","855.4902","0.1926417","0.1926417","0.1926417"
"2.33","858.04","0.193475","858.04","0.193475","0.193475","0.193475"
"2.34","860.5924","0.1943","860.5924","0.1943","0.1943","0.1943"
"2.35","863.1464","0.1951417","863.1464","0.1951417","0.1951417","0.1951417"
"2.36","865.7014","0.195975","865.7014","0.195975","0.195975","0.195975"
"2.37","868.256","0.1968","868.256","0.1968","0.1968","0.1968"
"2.38","870.81","0.1976333","870.81","0.1976333","0.1976333","0.1976333"
"2.39","873.3626","0.198475","873.3626","0.198475","0.198475","0.198475"
"2.4","875.913","0.1993","875.913","0.1993","0.1993","0.1993"
"2.41","878.462","0.2001333","878.462","0.2001333","0.2001333","0.2001333"
"2.42","881.0107","0.2009583","881.0107","0.2009583","0.2009583","0.2009583"
"2.43","883.5596","0.2018","883.5596","0.2018","0.2018","0.2018"
"2.44","886.1076","0.2026333","886.1076","0.2026334","0.2026333","0.2026334"
"2.45","888.653","0.2034583","888.653","0.2034583","0.2034583","0.2034583"
"2.46","891.196","0.2042917","891.196","0.2042917","0.2042917","0.2042917"
"2.47","893.737","0.205125","893.737","0.205125","0.205125","0.205125"
"2.48","896.276","0.2059583","896.276","0.2059583","0.2059583","0.2059583"
"2.49","898.813","0.2067833","898.813","0.2067833","0.2067833","0.2067833"
"2.5","901.3484","0.207625","901.3484","0.207625","0.207625","0.207625"
"2.51","903.8813","0.20845","903.8813","0.20845","0.20845","0.20845"
"2.52","906.4114","0.2092917","906.4114","0.2092917","0.2092917","0.2092917"
"2.53","908.9374","0.210125","908.9374","0.210125","0.210125","0.210125"
"2.54","911.459","0.21095","911.459","0.21095","0.21095","0.21095"
"2.55","913.9778","0.2117917","913.9778","0.2117917","0.2117917","0.2117917"
"2.56","916.4974","0.212625","916.4974","0.212625","0.212625","0.212625"
"2.57","919.0196","0.2134667","919.0196","0.2134667","0.2134667","0.2134667"
"2.58","921.5452","0.2143","921.5452","0.2143","0.2143","0.2143"
"2.59","924.074","0.215125","924.074","0.215125","0.215125","0.215125"
"2.6","926.6054","0.2159667","926.6054","0.2159667","0.2159667","0.2159667"
"2.61","929.1394","0.2168","929.1394","0.2168","0.2168","0.2168"
"2.62","931.6744","0.2176333","931.6744","0.2176334","0.2176333","0.2176334"
"2.63","934.2079","0.2184583","934.2079","0.2184583","0.2184583","0.2184583"
"2.64","936.7386","0.2192917","936.7386","0.2192917","0.2192917","0.2192917"
"2.65","939.2668","0.220125","939.2668","0.220125","0.220125","0.220125"
"2.66","941.7932","0.2209583","941.7932","0.2209583","0.2209583","0.2209583"
"2.67","944.3176","0.2217917","944.3176","0.2217917","0.2217917","0.2217917"
"2.68","946.8394","0.2226167","946.8394","0.2226167","0.2226167","0.2226167"
"2.69","949.3578","0.2234583","949.3578","0.2234583","0.2234583","0.2234583"
"2.7","951.8736","0.2242833","951.8736","0.2242833","0.2242833","0.2242833"
"2.71","954.3882","0.225125","954.3882","0.225125","0.225125","0.225125"
"2.72","956.9034","0.2259583","956.9034","0.2259583","0.2259583","0.2259583"
"2.73","959.4208","0.2267917","959.4208","0.2267917","0.2267917","0.2267917"
"2.74","961.943","0.227625","961.943","0.227625","0.227625","0.227625"
"2.75","964.4724","0.2284583","964.4724","0.2284583","0.2284583","0.2284583"
"2.76","967.0108","0.2292917","967.0108","0.2292917","0.2292917","0.2292917"
"2.77","969.5578","0.2301333","969.5578","0.2301334","0.2301333","0.2301334"
"2.78","972.1124","0.2309667","972.1124","0.2309667","0.2309667","0.2309667"
"2.79","974.673","0.2317917","974.673","0.2317917","0.2317917","0.2317917"
"2.8","977.2382","0.2326333","977.2382","0.2326333","0.2326333","0.2326333"
"2.81","979.8084","0.2334667","979.8084","0.2334667","0.2334667","0.2334667"
"2.82","982.3838","0.2343","982.3838","0.2343","0.2343","0.2343"
"2.83","984.9644","0.2351417","984.9644","0.2351417","0.2351417","0.2351417"
"2.84","987.5482","0.2359667","987.5482","0.2359667","0.2359667","0.2359667"
"2.85","990.1348","0.2368083","990.1348","0.2368083","0.2368083","0.2368083"
"2.86","992.7236","0.2376417","992.7236","0.2376417","0.2376417","0.2376417"
"2.87","995.3138","0.238475","995.3138","0.238475","0.238475","0.238475"
"2.88","997.906","0.2393083","997.906","0.2393083","0.2393083","0.2393083"
"2.89","1000.5","0.2401417","1000.5","0.2401417","0.2401417","0.2401417"
"2.9","1003.093","0.240975","1003.093","0.240975","0.240975","0.240975"
"2.91","1005.685","0.2418083","1005.685","0.2418083","0.2418083","0.2418083"
"2.92","1008.273","0.2426417","1008.273","0.2426417","0.2426417","0.2426417"
"2.93","1010.857","0.2434667","1010.857","0.2434667","0.2434667","0.2434667"
"2.94","1013.434","0.2443","1013.434","0.2443","0.2443","0.2443"
"2.95","1016.004","0.2451333","1016.004","0.2451333","0.2451333","0.2451333"
"2.96","1018.565","0.2459667","1018.565","0.2459667","0.2459667","0.2459667"
"2.97","1021.12","0.2468083","1021.12","0.2468083","0.2468083","0.2468083"
"2.98","1023.666","0.2476333","1023.666","0.2476333","0.2476333","0.2476333"
"2.99","1026.205","0.2484667","1026.205","0.2484667","0.2484667","0.2484667"
"3","1028.738","0.2493","1028.738","0.2493","0.2493","0.2493"
"3.01","1031.266","0.2501333","1031.266","0.2501333","0.2501333","0.2501333"
