"1 _ 1",,,,,,
"时间","载荷","行程","引伸计1","位移","位移(应变)","引伸计1(应变)"
"sec","N","mm","mm","mm","%","%"
"3","353.5006","0.04151667","0.0060924","0.0060924","0.0243696","0.0243696"
"3.01","353.9958","0.04168333","0.0061097","0.0061097","0.0244388","0.0244388"
"3.02","354.4852","0.04184167","0.0061269","0.0061269","0.0245076","0.0245076"
"3.03","354.9682","0.04201667","0.0061438","0.0061438","0.0245752","0.0245752"
"3.04","355.444","0.04218333","0.0061601","0.0061601","0.0246404","0.0246404"
"3.05","355.913","0.04235","0.0061761","0.0061761","0.0247044","0.0247044"
"3.06","356.3764","0.04251667","0.006192","0.006192","0.024768","0.024768"
"3.07","356.834","0.04268333","0.0062078","0.0062078","0.0248312","0.0248312"
"3.08","357.2864","0.04285","0.006224","0.006224","0.024896","0.024896"
"3.09","357.7336","0.04301667","0.0062404","0.0062404","0.0249616","0.0249616"
"3.1","358.1762","0.043175","0.0062568","0.0062568","0.0250272","0.0250272"
"3.11","358.6152","0.04335","0.006273","0.006273","0.025092","0.025092"
"3.12","359.0504","0.04351667","0.0062892","0.0062892","0.0251568","0.0251568"
"3.13","359.4804","0.04368334","0.0063055","0.0063055","0.025222","0.025222"
"3.14","359.9054","0.04385","0.0063214","0.0063214","0.0252856","0.0252856"
"3.15","360.3254","0.04401667","0.0063361","0.0063361","0.0253444","0.0253444"
"3.16","360.74","0.04418333","0.0063491","0.0063491","0.0253964","0.0253964"
"3.17","361.148","0.04435","0.0063608","0.0063608","0.0254432","0.0254432"
"3.18","361.5482","0.04451667","0.0063715","0.0063715","0.025486","0.025486"
"3.19","361.9398","0.04468333","0.006382","0.006382","0.025528","0.025528"
"3.2","362.3242","0.04485","0.0063923","0.0063923","0.0255692","0.0255692"
"3.21","362.7036","0.04501667","0.0064027","0.0064027","0.0256108","0.0256108"
"3.22","363.079","0.04518333","0.0064136","0.0064136","0.0256544","0.0256544"
"3.23","363.4506","0.04535","0.0064255","0.0064255","0.025702","0.025702"
"3.24","363.8196","0.04551667","0.0064387","0.0064387","0.0257548","0.0257548"
"3.25","364.1872","0.04568334","0.0064535","0.0064535","0.025814","0.025814"
"3.26","364.5542","0.04585","0.0064697","0.0064697","0.0258788","0.0258788"
"3.27","364.9218","0.04601667","0.0064863","0.0064863","0.0259452","0.0259452"
"3.28","365.2906","0.04618333","0.0065026","0.0065026","0.0260104","0.0260104"
"3.29","365.6602","0.04635","0.0065184","0.0065184","0.0260736","0.0260736"
"3.3","366.03","0.04651667","0.0065337","0.0065337","0.0261348","0.0261348"
"3.31","366.3998","0.04668333","0.0065492","0.0065492","0.0261968","0.0261968"
"3.32","366.7702","0.04685","0.0065646","0.0065646","0.0262584","0.0262584"
